customer_id,first_name,last_name,store_id,customer_total
1,MARY,SMITH,1,118.68
2,PATRICIA,JOHNSON,1,128.73
3,LINDA,WILLIAMS,1,135.74
5,ELIZABETH,BROWN,1,144.62
7,MARIA,MILLER,1,151.67
13,KAREN,JACKSON,2,131.73
14,BETTY,WHITE,2,117.72
15,HELEN,HARRIS,1,134.68
16,SANDRA,MARTIN,2,118.72
19,RUTH,MARTINEZ,1,125.76
20,SHARON,ROBINSON,2,115.70
21,MICHELLE,CLARK,1,155.65
22,LAURA,RODRIGUEZ,1,113.78
23,SARAH,LEWIS,2,119.70
25,DEBORAH,WALKER,1,115.71
26,JESSICA,HALL,2,152.66
27,SHIRLEY,ALLEN,2,126.69
29,ANGELA,HERNANDEZ,2,140.64
30,MELISSA,KING,1,123.66
32,AMY,LOPEZ,1,127.71
35,VIRGINIA,GREEN,2,129.68
38,MARTHA,GONZALEZ,1,127.66
39,DEBRA,NELSON,1,141.71
41,STEPHANIE,MITCHELL,1,118.75
42,CAROLYN,PEREZ,2,117.70
44,MARIE,TURNER,1,114.74
45,JANET,PHILLIPS,1,127.73
46,CATHERINE,CAMPBELL,2,142.66
49,JOYCE,EDWARDS,2,130.72
50,DIANE,COLLINS,1,169.65
51,ALICE,STEWART,1,138.67
53,HEATHER,MORRIS,1,115.70
54,TERESA,ROGERS,1,128.71
56,GLORIA,COOK,1,135.70
57,EVELYN,MORGAN,2,114.72
58,JEAN,BELL,1,115.73
59,CHERYL,MURPHY,1,133.73
66,JANICE,WARD,2,144.66
71,KATHY,JAMES,1,129.70
75,TAMMY,SANDERS,2,155.59
78,LORI,WOOD,1,141.69
80,MARILYN,ROSS,1,137.70
82,KATHRYN,COLEMAN,1,130.74
84,SARA,PERRY,2,141.67
86,JACQUELINE,LONG,2,148.67
87,WANDA,PATTERSON,1,145.70
89,JULIA,FLORES,1,134.68
91,LOIS,BUTLER,2,113.65
92,TINA,SIMMONS,2,133.72
102,CRYSTAL,FORD,1,137.67
103,GLADYS,HAMILTON,1,146.69
105,DAWN,SULLIVAN,1,120.74
107,FLORENCE,WOODS,1,126.70
108,TRACY,COLE,1,132.70
112,ROSA,REYNOLDS,2,133.70
113,CINDY,FISHER,2,113.71
114,GRACE,ELLIS,2,139.67
119,SHERRY,MARSHALL,1,153.66
120,SYLVIA,ORTIZ,2,143.68
122,THELMA,MURRAY,1,126.68
125,ETHEL,WEBB,1,135.68
126,ELLEN,SIMPSON,1,117.72
128,MARJORIE,TUCKER,1,127.68
129,CARRIE,PORTER,1,124.66
131,MONICA,HICKS,2,128.70
137,RHONDA,KENNEDY,2,194.61
139,AMBER,DIXON,1,113.73
141,DEBBIE,REYES,1,130.68
144,CLARA,SHAW,1,195.58
146,JAMIE,RICE,1,139.71
147,JOANNE,ROBERTSON,2,127.66
148,ELEANOR,HUNT,1,216.54
149,VALERIE,BLACK,1,121.74
154,MICHELE,GRANT,2,130.70
157,DARLENE,ROSE,2,113.69
158,VERONICA,STONE,1,126.68
163,CATHY,SPENCER,1,122.71
166,LYNN,PAYNE,1,123.72
167,SALLY,PIERCE,2,119.68
168,REGINA,BERRY,1,135.66
170,BEATRICE,ARNOLD,1,119.74
171,DOLORES,WAGNER,2,114.74
172,BERNICE,WILLIS,1,145.67
173,AUDREY,RAY,1,119.71
176,JUNE,CARROLL,1,173.63
178,MARION,SNYDER,2,194.61
179,DANA,HART,1,133.71
181,ANA,BRADLEY,2,174.66
186,HOLLY,FOX,2,114.69
187,BRITTANY,RILEY,2,159.72
196,ALMA,AUSTIN,1,151.65
197,SUE,PETERS,2,154.60
198,ELSIE,KELLEY,2,141.63
200,JEANNE,LAWSON,2,136.73
204,ROSEMARY,SCHMIDT,1,147.65
206,TERRI,VASQUEZ,1,126.73
207,GERTRUDE,CASTILLO,1,137.66
209,TONYA,CHAPMAN,2,161.68
210,ELLA,OLIVER,2,137.69
211,STACEY,MONTGOMERY,1,151.66
214,KRISTIN,JOHNSTON,1,116.69
220,CHARLENE,ALVAREZ,2,114.73
221,BESSIE,MORRISON,1,132.72
225,ARLENE,HARVEY,1,120.74
230,JOY,GEORGE,2,124.67
236,MARCIA,DEAN,1,175.58
237,TANYA,GILBERT,1,144.67
239,MINNIE,ROMERO,2,142.66
240,MARLENE,WELCH,1,117.74
241,HEIDI,LARSON,2,122.66
242,GLENDA,FRAZIER,1,140.68
244,VIOLA,HANSON,2,129.68
245,COURTNEY,DAY,1,132.68
251,VICKIE,BREWER,2,120.69
253,TERRY,CARLSON,1,127.71
254,MAXINE,SILVA,2,116.68
256,MABEL,HOLLAND,2,112.70
257,MARSHA,DOUGLAS,2,151.63
259,LENA,JENSEN,2,168.68
260,CHRISTY,VARGAS,1,122.69
262,PATSY,DAVIDSON,2,119.72
263,HILDA,HOPKINS,1,122.71
265,JENNIE,TERRY,2,133.71
266,NORA,HERRERA,2,118.72
267,MARGIE,WADE,1,159.64
268,NINA,SOTO,1,123.71
269,CASSANDRA,WALTERS,1,129.70
273,PRISCILLA,LOWE,2,157.65
274,NAOMI,JENNINGS,1,152.65
276,BRANDY,GRAVES,1,122.72
277,OLGA,JIMENEZ,2,144.68
279,DIANNE,SHELTON,2,135.69
280,TRACEY,BARRETT,2,118.73
284,SONIA,GREGORY,1,126.72
285,MIRIAM,MCKINNEY,1,135.74
286,VELMA,LUCAS,1,117.73
287,BECKY,MILES,2,115.71
289,VIOLET,RODRIQUEZ,1,142.70
292,MISTY,LAMBERT,2,118.73
293,MAE,FLETCHER,2,158.69
294,SHELLY,WATTS,2,113.74
295,DAISY,BATES,1,162.62
296,RAMONA,HALE,2,129.70
297,SHERRI,RHODES,1,128.67
299,JAMES,GANNON,2,131.70
300,JOHN,FARNSWORTH,1,137.69
302,MICHAEL,SILVERMAN,1,127.71
304,DAVID,ROYAL,2,115.74
306,CHARLES,KOWALSKI,1,138.68
307,JOSEPH,JOY,2,134.70
309,CHRISTOPHER,GRECO,1,147.69
311,PAUL,TROUT,2,120.77
314,GEORGE,LINTON,1,131.67
316,STEVEN,CURLEY,1,132.71
317,EDWARD,BAUGH,2,114.72
319,RONALD,WEINER,2,132.70
321,KEVIN,SCHULER,1,116.78
322,JASON,MORRISSEY,1,128.72
323,MATTHEW,MAHAN,2,114.69
327,LARRY,THRASHER,2,112.74
329,FRANK,WAGGONER,2,127.68
331,ERIC,ROBERT,1,122.73
332,STEPHEN,QUALLS,1,118.72
