customer_id,first_name,last_name,store_id,customer_total
10,DOROTHY,TAYLOR,1,658.41
16,SANDRA,MARTIN,2,310.70
18,CAROL,GARCIA,2,5244.61
26,JESSICA,HALL,2,381.68
27,SHIRLEY,ALLEN,2,358.47
37,PAMELA,BAKER,1,412.36
43,CHRISTINE,ROBERTS,2,395.14
45,JANET,PHILLIPS,1,412.54
48,ANN,EVANS,1,883.54
52,JULIE,SANCHEZ,1,911.93
54,TERESA,ROGERS,1,957.01
70,CHRISTINA,RAMIREZ,2,1857.73
76,IRENE,PRICE,2,405.97
102,CRYSTAL,FORD,1,2713.12
114,GRACE,ELLIS,2,560.73
119,SHERRY,MARSHALL,1,390.00
123,SHANNON,FREEMAN,2,10234.14
134,EMMA,BOYD,1,13929.06
141,DEBBIE,REYES,1,477.79
153,SUZANNE,NICHOLS,2,4039.64
155,GAIL,KNIGHT,1,451.68
159,JILL,HAWKINS,1,360.78
163,CATHY,SPENCER,1,363.99
172,BERNICE,WILLIS,1,550.14
182,RENEE,LANE,1,616.25
187,BRITTANY,RILEY,2,309.30
204,ROSEMARY,SCHMIDT,1,737.75
207,GERTRUDE,CASTILLO,1,1679.08
220,CHARLENE,ALVAREZ,2,530.41
227,COLLEEN,BURTON,1,350.62
231,GEORGIA,JACOBS,1,418.84
240,MARLENE,WELCH,1,2676.67
242,GLENDA,FRAZIER,1,482.12
249,DORA,MEDINA,2,290.81
261,DEANNA,BYRD,1,382.21
264,GWENDOLYN,MAY,1,2079.17
272,KAY,CALDWELL,1,1259.28
274,NAOMI,JENNINGS,1,591.92
283,FELICIA,SUTTON,1,410.49
288,BOBBIE,CRAIG,1,357.89
298,ERIKA,PENA,1,508.21
312,MARK,RINEHART,2,627.49
318,BRIAN,WYMAN,1,648.70
325,TIMOTHY,BUNN,1,49951.76
328,JEFFREY,SPEAR,2,487.12
351,JACK,FOUST,1,363.99
355,TERRY,GRISSOM,2,484.52
361,LAWRENCE,LAWTON,2,643.96
366,BRANDON,HUEY,1,929.15
367,ADAM,GOOCH,1,338.09
370,WAYNE,TRUONG,2,470.08
386,TODD,TAN,1,2251.47
388,CRAIG,MORRELL,2,419.48
393,PHILIP,CAUSEY,1,508.39
402,LUIS,YANEZ,1,611.42
408,MANUEL,MURRELL,1,3079.80
423,ALFRED,CASILLAS,2,295.02
428,HERBERT,KRUGER,2,1028.72
437,RANDALL,NEUMANN,2,295.41
441,MARIO,CHEATHAM,1,373.96
447,CLIFFORD,BOWENS,1,380.95
448,MIGUEL,BETANCOURT,1,597.84
455,JON,WILES,2,401.80
465,FLOYD,GANDY,1,1122.76
466,LEO,EBERT,1,570.52
468,TIM,CARY,1,896.98
469,WESLEY,BULL,2,355.84
478,LEWIS,LYMAN,1,587.66
489,RICARDO,MEADOR,1,434.74
497,GILBERT,SLEDGE,2,3707.17
500,REGINALD,KINDER,1,1028.62
503,ANGEL,BARCLAY,1,1359.15
504,NATHANIEL,ADAM,1,1030.04
510,BEN,EASTER,2,6319.39
519,RON,DELUCA,2,338.88
521,ROLAND,SOUTH,2,838.18
525,ADRIAN,CLARY,2,531.84
526,KARL,SEAL,2,428.79
527,CORY,MEEHAN,1,8090.00
547,KURT,EMMONS,1,796.99
568,ALBERTO,HENNING,2,313.93
569,DAVE,GARDINER,2,373.27
585,PERRY,SWAFFORD,1,426.09
596,ENRIQUE,FORSYTHE,1,1885.29
614,RICHARD,HARRIS,2,815.59
631,CHARLES,MORGAN,2,296.41
634,RICARDO,WATSON,1,377.09
643,ERIC,HARRIS,2,22658.84
687,DAVID,PHILLIPS,2,600.41
721,JACOB,CLARK,2,358.85
733,DANIEL,COOK,2,536.00
743,TIMOTHY,ROSS,1,653.25
745,DANIEL,GONZALEZ,1,1274.82
753,ANGELA,GARCIA,1,953.53
759,RYAN,ROBERTS,1,1181.16
762,BETTY,PETERSON,2,470.25
766,CARLOS,SANDERS,1,601.72
773,DEBORAH,YOUNG,2,432.48
792,ANNA,SANDERS,2,1384.32
824,MICHELLE,DAVIS,1,1498.90
855,LAURA,LOPEZ,2,3093.65
871,SUSAN,ROBERTS,1,379.05
914,STEPHEN,WILSON,1,1396.81
922,LAURA,LOPEZ,1,1127.72
924,KIMBERLY,BAILEY,2,453.87
925,SUSAN,MITCHELL,1,2064.04
932,ROBERT,SMITH,1,1132.11
934,JACOB,WALKER,1,578.63
943,CHARLES,TURNER,2,416.73
960,PAUL,COLEMAN,2,4251.92
997,LUCIA,MILLER,1,367.16
1000,MIGUEL,RODRIGUEZ,2,767.84
